icao_code,name
CYSN,Niagara District Airport
CYSP,Marathon Airport
CYST,St. Theresa Point Airport
CYSU,Summerside Airport
CYSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport
CYTA,Pembroke Airport
CYTE,Cape Dorset Airport
CYTF,Alma Airport
CYTH,Thompson Airport
CYTL,Big Trout Lake Airport
CYTQ,Tasiujaq Airport
CYTR,CFB Trenton
CYTS,Timmins/Victor M. Power
CYTZ,Billy Bishop Toronto City Centre Airport
CYUB,Tuktoyaktuk / James Gruben Airport
CYUL,Montreal / Pierre Elliott Trudeau International Airport
CYUT,Naujaat Airport
CYUX,Hall Beach Airport
CYUY,Rouyn Noranda Airport
CYVB,Bonaventure Airport
CYVC,La Ronge Airport
CYVG,Vermilion Airport
CYVK,Vernon Regional Airport
CYVL,Tommy Kochon Airport
CYVM,Qikiqtarjuaq Airport
CYVO,Val-d'Or Airport
CYVP,Kuujjuaq Airport
CYVQ,Norman Wells Airport
CYVR,Vancouver International Airport
CYVT,Buffalo Narrows Airport
CYVV,Wiarton Airport
CYVZ,Deer Lake Airport
CYWA,Petawawa Airport
CYWE,Wekweètì Airport
CYWG,Winnipeg / James Armstrong Richardson International Airport
CYWH,Victoria Harbour Seaplane Base
CYWJ,Déline Airport
CYWK,Wabush Airport
CYWL,Williams Lake Airport
CYWP,Webequie Airport
CYWY,Wrigley Airport
CYXC,Cranbrook/Canadian Rockies International Airport
CYXE,Saskatoon John G. Diefenbaker International Airport
CYXH,Medicine Hat Regional Airport
CYXJ,Fort St John / North Peace Regional Airport
CYXK,Rimouski Airport
CYXL,Sioux Lookout Airport
CYXN,Whale Cove Airport
CYXP,Pangnirtung Airport
CYXQ,Beaver Creek Airport
CYXR,Earlton (Timiskaming Regional) Airport
CYXS,Prince George Airport
CYXT,Northwest Regional Airport Terrace-Kitimat
CYXU,London Airport
CYXX,Abbotsford International Airport
CYXY,Whitehorse / Erik Nielsen International Airport
CYXZ,Wawa Airport
CYYB,North Bay Jack Garland Airport
CYYC,Calgary International Airport
CYYD,Smithers Airport
CYYE,Fort Nelson Airport
CYYF,Penticton Airport
CYYG,Charlottetown Airport
CYYH,Taloyoak Airport
CYYJ,Victoria International Airport
CYYL,Lynn Lake Airport
CYYM,Cowley Airport
CYYN,Swift Current Airport
CYYQ,Churchill Airport
CYYR,Goose Bay Airport
CYYT,St. John's International Airport
CYYU,Kapuskasing Airport
CYYW,Armstrong Airport
CYYY,Mont Joli Airport
CYYZ,Toronto Lester B. Pearson International Airport
CYZE,Gore Bay Manitoulin Airport
CYZF,Yellowknife International Airport
CYZG,Salluit Airport
CYZH,Slave Lake Airport
CYZP,Sandspit Airport
CYZR,Chris Hadfield Airport
CYZS,Coral Harbour Airport
CYZT,Port Hardy Airport
CYZU,Whitecourt Airport
CYZV,Sept-Îles Airport
CYZW,Teslin Airport
CYZX,CFB Greenwood
CZAC,York Landing Airport
CZAM,Shuswap Regional Airport
CZBB,Boundary Bay Airport
CZBD,Ilford Airport
CZBF,Bathurst Airport
CZBM,Bromont (Roland Désourdy) Airport
CZEE,Kelsey Airport
CZEM,Eastmain River Airport
CZFA,Faro Airport
CZFD,Fond-du-Lac Airport
CZFG,Pukatawagan Airport
CZFM,Fort Mcpherson Airport
CZFN,Tulita Airport
CZGF,Grand Forks Airport
CZGI,Gods River Airport
CZGR,Little Grand Rapids Airport
CZHP,High Prairie Airport
CZJG,Jenpeg Airport
CZJN,Swan River Airport
CZKE,Kashechewan Airport
CZLQ,Thicket Portage Airport
CZMD,Muskrat Dam Airport
CZML,South Cariboo Region / 108 Mile Airport
CZMN,Pikwitonei Airport
CZMT,Masset Airport
CZNG,Poplar River Airport
CZPB,Sachigo Lake Airport
CZPC,Pincher Creek Airport
CZPO,Pinehouse Lake Airport
CZRJ,Round Lake (Weagamow Lake) Airport
CZSJ,Sandy Lake Airport
CZSN,South Indian Lake Airport
CZST,Stewart Airport
CZSW,Prince Rupert/Seal Cove Seaplane Base
CZTA,Bloodvein River Airport
CZTM,Shamattawa Airport
CZUC,Ignace Municipal Airport
CZUM,Churchill Falls Airport
CZWH,Lac Brochet Airport
CZWL,Wollaston Lake Airport
DAAD,Bou Saada Airport
DAAE,Soummam–Abane Ramdane Airport
DAAG,Houari Boumediene Airport
DAAJ,Djanet Inedbirene Airport
DAAP,Illizi Takhamalt Airport
DAAS,Ain Arnat Airport
DAAT,Aguenar – Hadj Bey Akhamok Airport
DAAV,Jijel Ferhat Abbas Airport
DAAY,Mecheria Airport
DABB,Annaba Rabah Bitat Airport
DABC,Mohamed Boudiaf International Airport
DABS,Cheikh Larbi Tébessi Airport
DABT,Batna Mostefa Ben Boulaid Airport
DAFH,Hassi R'Mel Airport
DAOB,Abdelhafid Boussouf Bou Chekif Airport
DAOF,Tindouf Airport
DAOI,Chlef Aboubakr Belkaid International Airport
DAOL,Oran Tafraoui Airport
DAON,Zenata – Messali El Hadj Airport
DAOO,Oran Es-Sénia (Ahmed Ben Bella) International Airport
DAOR,Béchar Boudghene Ben Ali Lotfi Airport
DAOS,Sidi Bel Abbes Airport
DAOV,Ghriss Airport
DAOY,El Bayadh Airport
DATG,In Guezzam Airport
DATM,Bordj Badji Mokhtar Airport
DAUA,Touat Cheikh Sidi Mohamed Belkebir Airport
DAUB,Biskra - Mohamed Khider Airport
DAUE,El Golea Airport
